,Japanese,Lao,phonetic alphabet,English
,バスタブ,ອ່າງອາບນ້ຳ ,aang1 aap nam2, bathtub
,バス停,ບ່ອນຈອດລົດເມ ,bohn1 joht lot mee, bus stop
,パスポート,ປັດສະປອດ ,pat sa poht, passport
,弾む,ເຕັ້ນ ,ten2, bound
,外れるhazureru,ເອົາອອກ ,ao ohk, come off
,パソコン,ຄອມພິວເຕີ້ ,khohm phiw ter2, computer
,旗,ທຸງ ,thung, flag
,バター,ເນີຍ ,nery, butter
,バター,ນ້ຳມັນເບີ ,nam2 man ber, butter
,裸,ບໍ່ນຸ່ງເຄື່ອງ ,boh1 nung1 kheuang1, nakedness
,裸hadaka,ເປືອຍກາຍ ,peuay kaay, nakedness
,畑,ໄຮ່ ,hai1, farm
,働くhataraku,ເຮັດວຽກ ,het wiak, working
,八（８）,ແປດ ,paet, eight
,蜂,ເຜີ້ງ ,hperng2, bee
,８月,ເດືອນສິງຫາ ,deuan sing hhaa, August
,８月,ສິງຫາ ,sing haa, August
,８月hachi,ເດືອນແປດ ,deuan paet, August
,はちまき,ສາຍຮັດຫົວ ,saay hat hhua, headband
,蜂蜜hachimitsu,ນ້ຳເຜີ້ງ ,nam2 hperng2, honey
,発音,ການອອກສຽງ ,kaan ohk siang, pronunciation
,発音,ອອກສຽງ ,ohk siang, pronounce 
,はっきり,ຢ່າງຈະແຈ້ງ ,yaang1 ja jaeng2, clearly
,バッグ,ກະເປົາ ,ka pao, bag
,発見,ຄົ້ນພົບ ,khon2 phop, find out
,発行,ຈຳຫນ່າຍ ,jam hnaay1, deliver
,発車,ລົດອອກ ,lot ohk, departure
,発車時刻,ເວລາອອກ ,wee laa ohk, departure time
,発生,ປະກົດຂື້ນ ,pa kot hkeun2, appear
,発達,ພັດທະນາ ,phat tha naa, develop
,バッテリー,ແບັດເຕີລີ້ ,be't ter lii2, battery
,バッテリー,ຫມໍ້ໄຟ ,hmoh2 fai, battery
,発展,ຈະເລີນ ,ja lern, developed
,発展,ພັດທະນາ ,phat tha naa, develop
,発展途上国ha¿ten,ປະເທດດ້ອຍພັດທະນາ ,pa theet dohy2 phat tha naa, undeveloped country
,発表,ປະກາດ ,pa kaat, announce
,発泡スチロール,ຟອງສະໂນ ,fohng sa noo, Styrofoam
,発明,ຄົ້ນພົບ ,khon2 phop, invent
,派手,ສະດຸດຕາ ,sa dut taa, gay
,バドミントン,ຕີດອກ ,tii dohk, play badminton
,バドミントン,ແບັດນິນຕັ້ນ ,be't nin tan2, play badminton
,パトロンshachoo,ເຖົ້າແກ່ ,htao2 kae1, patron
,鼻,ດັງ ,dang, nose
,花,ດອກໄມ້ ,dohk mai2, flower
,花,ດອກໄມ້ ,dohk mai2, flower
,話し合うhanashi,ລົມກັບ ,lom kap , talk with
,話,ເລື່ອງ ,leuang1, story
,話にならない,ບໍ່ໄດ້ເລື້ອງ ,boh1 dai2 leuang2, beyond description
,放す,ປ່ອຍ ,pohy1, let (n) go
,話す,ເວົ້າ ,wao2, say
,バナナ,ກ້ວຍ ,kuay2, banana
,バナナ,ຫມາກກ້ວຍ ,hmaak kuay2, banana
,鼻水hanamizu,ນ້ຳມູກ ,nam2 muuk, mucus
,離れたhanare,ໄກຈາກ ,kai jaak, far from
,離れるhanareru,ອອກ ,ohk , leave
,羽,ຂົນ ,hkon, feather
,跳ねる,ເຕັ້ນ ,ten2, spring up
,母,ແມ່ ,mae1, mother
,幅haba,ລວງກວ້າງ ,luang kwaang2, width
,パパイヤ,ຫມາກຫຸ່ງ ,hmaak hhung1, papaya
,パブ,ຜັບ ,hpap, pub
,省く,ລະເວັ້ນ ,la wen2, omit
,歯ブラシ,ແປງສີແຂ້ວ ,paeng sii hkaew2, tooth brash
,歯磨き粉,ຢາສີແຂ້ວ ,yaa sii hkaew2, tooth past
,場面,ຕອນ ,tohn, scene
,早い,ເຊົ້າ ,xao2, early
,速い,ໄວ ,wai, quickly
,林,ປ່າ ,paa1, wood
,はやる,ຄວາມນິຍົມ ,khwaam ni nyom, popularity 
,はやるhayaru,ນິຍົມ ,ni nyom, fashion
,腹hara,ຫນ້າທ້ອງ ,hnaa2 thohng2, belly
,腹痛haraita,ເຈັບທ້ອງ ,jep thohng2, stomach ach
,払い戻す,ສຳລະຄືນ ,sam la kheun, pay back
,払い戻す,ຈ່າຍຄືນ ,jaay1 kheun, pay back
,払う,ຈ່າຍ ,jaay1, pay
,針,ເຂັມ ,hkem, needle
,張り紙,ເຈ້ຍໂຄສະນາ ,jeey2 khoo sa naa, poster
,貼る,ຕິດ ,tit, stick
,春,ລະດູໃບໄມ້ປົ່ງ ,la duu bay mai2 pong1, spring
,晴,ແຈ່ມໃສ ,jaem1 say, clear
,晴れる,ກາຍເປັນອາກາດດີ ,kaay pen aa kaat dii, become clear
,パワー,ກຳລັງແຮງ ,kam lang haeng, power
,番,ຍາມ ,nyaam, watch & guard
,晩,ກາງຄືນ ,kaang kheun, at night
,パン,ເຂົ້າຈີ່ ,hkao2 jii1, bread
,範囲han-i,ເຂດແດນ ,hkeet daen, border
,繁栄,ຈະເລີນ ,ja lern, prosperity
,繁栄,ຮຸ່ງເຮືອງ ,hung1 heuang, prosperity
,繁華街hankagai,ແຖວຄ້າຂາຍ ,htaew khaa2 hkaay, busy quarter
,ハンカチ,ຜ້າເຊັດມື ,hpaa2 xet meu, handkerchief
,反感hankan,ຜິດໃຈ ,hpit jay, ill feeling
,パンク,ຢາງຮົ່ວ ,yaang hua1, flat tire
,パンク修理,ຈອດຢາງ ,joht yaang, patch the tire
,半月,ເດືອນເຄີ່ງດວງ ,deuan kherng1 duang, half moon
,番号bangoo,ນ້ຳເບີ ,num ber, number
,番号bangoo,ນ້ຳເບີ ,nam2 ber, number
,番号bangoo,ຫມາຍເລກ ,hmaay leek, number 
,犯罪,ອາດສະຍາກຳ ,aat sa nyaa kam, crime
,ハンサム,ເຈົ້າຊູ້ ,jao2 xuu2, handsome
,反射,ສະທ້ອນ ,sa thohn2, reflect
,伴奏,ເສບເພັງ ,seep pheng, accompaniment
,反対,ຂັດ ,hkat, oppose
,反対,ຄັດຄ້ານ ,khat khaan2, disagree
,（～の）反対側,ກົງກັນຂ້າມ ,kong kan hkaam2, opposite
,反対側hantai,ຝ່າຍກົງກັນຂ້າມ ,hfaay1 kong kan hkaam2, opposite side
,判断,ຕັດສິນດ້ວຍເຫດຜົນ ,tat siin duay2 hheet hpon, decide
,パンツ,ສົ້ງສະຫລິບ ,song2 sa hlip, under wear
,半島,ແຫລມ ,hlaem, peninsula
,半年hannen,ເຄີ່ງປີ ,kherng1 pii, half a year
,ハンドバッグ,ກະເປົາ ,ka pao, hand bag
,半日hannichi,ເຄີ່ງມື້ ,kherng1 meu2, half day
,犯人hannin,ຜູ້ຮ້າຍ ,hpuu2 haay2, criminal
,ハンバーガー,ແຮມເບີເກີ້ ,haem ber ker2, hamburger
,パンフレット,ເຈ້ຍໂຄສະນາ ,jeey2 khoo sa naa, poster
,半分,ເຄີ່ງຫນຶ່ງ ,kherng1 hneung1, half
,半分hambun,ເຄີ່ງ ,kherng1, half
,パン屋,ຮ້ານຂາຍເຂົ້າຈີ່ ,haan2 hkaay hkao2 jii1, bakery
,日,ຕາເວັນ ,taa wen, sun
,火,ໄຟ ,fai, fire
,日,ມື້ ,meu2, day
,日,ວັນ ,wan, day
,（～）日,ວັນທີ ,wan thii, date of ~
,ピアノ,ເປັຍໂນ ,pey noo, piano
,ビーカー,ຖອກນ້ຳໃສ່ໂຖ ,htohk nam2 say1 htoo, beaker
,ビール,ເບຍ ,beey, beer
,冷える,ກາຍເປັນເຢັນ ,kaay pen yen, get cold
,被害higai,ເສຍຫາຍ ,seey hhaay, damage
,日帰り,ໄປເຊົ້າແລງກັບ ,pai xao2 laeng kap, day trip
,比較,ປຽບທຽບ ,piap thiap, compare
,東,ທິດຕາເວັນອອກ ,thit taa wen ohk, east
,東アジア,ອາຊີຕາເວັນອອກ ,aa xii taa wen ohk, East Asia
,東ヨーロッパhigashi,ຢູໂລບຕາເວັນອອກ ,yuu loop taa wen ohk, East Europe
,光,ແສງ ,saeng, light
,光る,ແສງ ,saeng, shine
,引き分ける,ສະເຫມີ ,sa hmer, draw
,引き受ける,ຮັບຜິດຊອບ ,hap hpit xohp, take responsiblity
,引き算,ລົບ ,lop, substract
,引き出す,ຖອນເງີນ ,htohn ngern, withdraw
,引き出す,ເບີກເງີນ ,berk ngern, withdraw
,引く,ດຶງ ,dueng, pull
,引く,ລົບ ,lop, minus
,弾くhiku,ຫລີ້ນດົນຕີ ,hlin2 don tii, play (instrument)
,低い,ເຕັ້ຍ ,tey2, short (height)
,低い,ຕ່ຳ ,tam1, low
,ピクニックpikuni¿ku,ປິກນິກ ,pik nik, picnic
,ピクニック,ໄປກິນເຂົ້າປ່າ ,pai kin hkao2 paa1, picnic
,髭,ຫນວດ ,hnuat," beard, moustache"
,髭剃りhige,ມີດແຖ ,miit htae, razor
,飛行機,ຍົນ ,nyon, plane
,飛行場,ສະຫນາມບິນ ,sa hnaam bin, airport
,膝,ຫົວເຂົ່າ ,hhua hkao1, knee
,ビザ,ວິຊ່າ ,wi xaa2, visa
,肘,ສອກ ,sohk, elbow
,肘掛椅子,ຕັ່ງອີ້ ,tang1 ii2, arm chair
,美術bijutsu,ສິນລະປະ ,sin la pa, art
,美術館,ຫໍວາງສະແດງສິນລະປະ ,hhoh waang sa daeng sin la pa, art museum
,秘書,ເລຂານຸການ ,lee hkaa nu kaan, secretary
,非常,ສຸກເສີນ ,suk sern, emergency
,非常口hijoo,ທາງອອກສຸກເສີນ ,thaang ohk suk sern, exit
,ヒスイ,ຫຍົກ ,hyok, jade
,左,ຊ້າຍ ,xaay2, left
,左側,ຂ້າງຊ້າຍ ,hkaang2 xaay2, left side
,左手hidari,ມືຊ້າຍ ,meu xaay2, left hand
,引っ越す,ຍ້າຍເຮືອນ ,nyaay2 heuan, move
,引っ張るhi¿paru,ດຶງ ,dueng, pull
,必要,ຈຳເປັນ ,jam pen, need
,否定,ປະຕິເສດ ,pa ti seet, deny
,ビデオカメラ,ກ້ອງວິດີໂອ ,kohng2 wi dii oo, video camera
,人,ຄົນ ,khon, human
,人,ຜູ້ຄົນ ,hpuu2 kon, person
,ひどいhidoi,ໂຫດຮ້າຍ ,hhoot haay2, terrible
,人差し指hitosashi,ນິ້ວຊີ້ ,niw2 xii2, forefinger
,等しいhitoshii,ເທົ່າກັນ ,thao1 kan, equal
,等しいhitoshii,ເທົ່າກັບ ,thao1 kap, equal
,一人旅,ເດີນທາງຄົນດຽວ ,dern thaang khon diaw, travel alone
,一人っ子,ລູກຄົນດຽວ ,luuk khon diaw, only one child
,一人でhitori,ຄົນດຽວ ,khon diaw, alone
,避難,ຫລົບໄພ ,hlop phai, evacuate
,ビニール,ປະລາດຕິກ ,pa laat tik, plastic
,日日,ຈຳນວນມື້ ,jam nuan meu2, number of days
,避妊,ຄຸມກຳເນີດ ,khum kam nert, birth control
,避妊薬,ຢາຄຸມກຳເນີດ ,yaa khum kam nert, birth control drug
,捻る,ບິດ ,bit, twist
,日の入り,ຕາເວັນຕົກດິນ ,taa wen tok din , sunset
,日の出,ຕາເວັນຂື້ນ ,taa wen hkeun2, sunrise
,響く,ສຽງສັ່ນສະເທືອນ ,siang san1 sa theuan, sound
,批評,ວິຈານ ,wi jaan, criticize
,皮膚,ຜິວ ,hpiw, skin
,皮膚,ຫນັງ ,hnang, skin
,皮膚科,ແພດໂລກຜິວຫນັງ ,phaet look hpiw hnang, dermatology
,暇,ເວລາຫວ່າງ ,wee laa hhwaang1, spare time
,ひまわり,ດອກຕາເວັນ ,dohk taa wen, sunflower
,秘密himitsu,ຄວາມລັບ ,khwaam lap, secret
,紐,ສາຍ ,saay," string, cord"
,百姓,ຊາວກະສິກອນ ,xaaw ka si kohn, farmer
,日焼け,ແດດໄຫມ້ ,daet hmai2, suntan hot
,日焼け止め,ຄິມກັນແດດ ,khim kan daet, suntan lotion
,冷やすhiyasu,ເຢັນລົງ ,yen long, cool down
,費用,ຄ່າໃຊ້ຈ່າຍ ,khaa1 xay2 jaay1, expenses
,表hyoo,ຕາຕະລາງ ,taa ta laang, table
,（～）秒,ວິນາທີ ,wi naa thii, ~ second
,秒,ວິນາທີ ,wi naa thii, second
,病院byooin,ໂຮງຫມໍ ,hoong hmoh, hospital
,美容院,ຮ້ານເສີມສວຍ ,haan2 serm suay, beauty salon
,（～）秒間,ວິນາທີ ,wi naa thii, for ~ seconds
,病気byooki,ບໍ່ສະບາຍ ,boh1 sa baay, unwell
,表現,ສະແດງ ,sa daeng, act
,表現,ສະແດງອອກ ,sa daeng ohk, express
,美容師,ຊ່າງເສີມສວຍ ,xaang1 serm suay, stylist
,標準,ມາດຕະຖານ ,maat ta htaan, standard
,平等byoodoo,ຍຸດຕິທຳ ,nyut ti tham, justice
,評判がいい,ຊື່ສຽງດີ ,xeu1 siang dii, good reputation
,評判が悪い,ຊື່ສຽງບໍ່ດີ ,xeu1 siang boh1 dii, bad reputation
,開く,ເປີດ ,pert, open
,比率,ອັດຕາ ,at taa, rate
,ビリヤード,ສະນຸກເກີ້ ,sa nuk ker2, snooker
,肥料,ປຸຍ ,puy, fertilizer
,昼,ກາງເວັນ ,kaang wen, day time
,昼,ຕອນສວຍ ,tohn suay, afternoon
,ビル,ຕຶກ ,tuek, building
,ビル,ໂຮງ ,hoong, building
,昼過ぎ,ຕອນບ່າຍ ,tohn baay1, afternoon
,昼間hiruma,ກາງເວັນ ,kaang wen, day time
,昼休み,ພັກທ່ຽງ ,phak thiang1, lunch time
,広い,ກວ້າງ ,kwaang2, wide
,拾う,ເກັບ ,kep, pick up
,広がるhirogaru,ຂະຫຍາຍ ,hka hyaay, spread oneself
,広げるhirogeru,ຂະຫຍາຍ ,hka hyaay, enlarge
,広場,ເດີ່ນ ,dern1, open space
,ビン,ແກ້ວ ,kaew2, bottle
,ビンbin,ຂວດແກ້ວ ,hkuat kaew2, bottle
,ピンク,ສີບົວ ,sii bua, pink
,貧血,ໂລກເລືອດຈາງ ,look leuat jaang, anemia
,品質,ຄຸນນະພາບ ,khun na phaap, quality
,ヒンズー教,ສາດສະຫນາອິນດູ ,saat sa hnaa in duu, Hindi 
,ピンチpinchi,ມີບັນຫາ ,mii ban haa, pinch
,貧乏,ຄົນທຸກ ,khon thuk, poor people
,フォークダンス,ເຕັ້ນລຳພື້ນເມືອງ ,ten2 lam pheun2 meuang, folk dance
,ファックス,ແຟັກ ,fe'k, fax
,ファッション,ແຟຊັນ ,fae xan, fashion
,不安,ຄວາມກັງວົນ ,khwaam kang won, anxiety
,ＶＣＤ,ແຜ່ນຊີດີ ,hpaen1 xii dii, VCD
,ＶＣＤプレーヤー,ເຄື່ອງຫລີ້ນວີຊີດີ ,kheuang1 liin2 wii xii dii, VCD player
,フィリピンfiripin,ພິລິປິນ ,phi li pin, Philippines
,フイルム,ຟີມ ,fiim, film
,風刺,ປະຊົດ ,pa xot, satire
,風刺,ເຮັດໃສ່ ,het say1, satire
,封筒,ຊອງຈົດຫມາຍ ,xohng jot hmaay, envelope
,夫婦fuufu,ຜົວເມຍ ,hpua meey, married couple
,ブームbuumu,ນິຍົມກັນ ,ni nyom kan, popular
,プール,ສະລອຍນ້ຳ ,sa lohy nam2, swimming pool
,笛,ປີ່ ,pii1, flute
,不得手,ບໍ່ເກັ່ງ ,boh1 keng1, week
,フェリー,ບັກ ,bak, ferry boat
,増える,ເພີ່ມຂື້ນ ,pherm1 hkeun2, increase
,フォーク,ສ້ອມ ,xohm2, fork
,フォークソング,ເພັງເພື່ອຊີວິດ ,pheng pheua1 xii wit, folk song
,フォーマル,ສຸພາບ ,su phaap, formal
,フォーマル,ຮຽບຮ້ອຍ ,hiap hohy2, polite
,部下buka,ລູກນ້ອງ ,luuk nohng2, subordinate
,深い,ເລິກ ,loek, deep
,不可能,ເປັນໄປບໍ່ໄດ້ ,pen pai boh1 dai2, impossible
,服,ເສື້ອ ,seua2, blouse
,服,ເສື້ອຜ້າ ,seua2 hpaa2, cloth 
,拭く,ເຊັດ ,xet, wipe
,吹く,ເປົ່າ ,pao1, blow
,複雑,ຄວາມສັບສົນ ,khwaam sap son, complex
,腹痛fukutsuu,ເຈັບທ້ອງ ,jep thohng2, stomach ach
,含む,ບັນຈຸ ,ban ju, contain 
,含めるfukumeru,ລວມທັງ ,luam thang, include
,膨らむfukuramu,ພອງ ,phohng , swell out
,膨れるfukureru,ພອງ ,phohng, swell out
,袋,ຫໍ່ໃສ່ຖົງ ,hhoh1 say1 htong , put (n) into a bag
,袋,ຖົງ ,htong, bag
,不景気,ເສດຖະກິດຕົກຕ່ຳ ,seet hta kit tok tam1, business depression
,不幸,ຊວຍ ,xuay, misfortune
,ふざけるな,ຕະຫລົກ ,ta hlok, joking
,ふさわしい,ເຫມາະສົມ ,hmo' som, suitable
,無事,ຄວາມປອດໄພ ,khwaam poht phai, safety
,不思議,ແປກໃຈ ,paek jay, wonder
,侮辱,ດູຖູກ ,duu htuuk, insult
,侮辱,ດູມິ່ນ ,duu min1, insult
,婦人fujin,ຜູ້ຍິງ ,hpuu2 nying, lady
,不親切,ບໍ່ມີນ້ຳໃຈ ,boh1 mii nam2 jay, unkind
,防ぐfusegu,ປ້ອງກັນ ,pohng2 kan, defend
,不足,ຂາດ ,hkaat, lack
,蓋,ຝາປິດ ,hfaa pit, lit
,札,ບັດ ,bat, tag
,豚,ຫມູ ,hmuu, pig
,舞台,ເວທີ ,wee thii, stage
,再び,ອີກ ,iik, again
,豚肉bata,ຊີ້ນຫມູ ,xiin2 hmuu, pork
,普通,ຕາມປົກກະຕິ ,taam pok ka ti, usually 
,普通futsuu,ທຳມະດາ ,tham ma daa, usually
,物価,ລາຄາສິນຄ້າ ,laa khaa sin khaa2, goods' price
,二日酔い,ເມົາຄ້າງ ,mao khaang2, hang over
,ぶつかるbutsukaru,ຕຳ ,tam, crash
,仏教,ສາດສະຫນາພຸດ ,saat sa hnaa phut, Buddhism
,仏教徒,ຊາວພຸດ ,xaaw phut, Buddhist
,物質bu¿shitsu,ຄຳນາມບໍ່ມີຕົວຕົນ ,kham naam boh1 mii tua ton, substance
,仏像,ພະພຸດທະຮູບ ,pha phut tha huup, Buddha image
,筆,ແປງ ,paeng, brush
,筆箱fudebako,ກັບສໍ ,kap soh, pencil case
,太い,ຕຸ້ຍ ,tuy2, thick
,葡萄,ຫມາກລະແຊ້ງ ,hmaak la xaeng2, grape
,不動産fudoosan,ສົມບັດ ,som bat, real estate
,不得意,ບໍ່ເກັ່ງ ,boh1 keng1, be not good at
,太った,ຕຸ້ຍ ,tuy2, fat
,太る,ກາຍເປັນຕຸ້ຍ ,kaay pen tuy2, become fat
,布団,ເຄື່ອງນອນ ,kheuang1 nohn, mattresses & blanket
,船着場,ທ່າເຮືອ ,thaa1 heua, port
,船便funa,ທາງເຮືອ ,thaang heua, by sea
,船酔い,ເມົາເຮືອ ,mao heua, sea sick
,赴任,ໄປເຮັດວຽກ ,pai het wiak, go to work
,船,ເຮືອ ,heua, boat 
,部分,ສ່ວນ ,suan1, part
,部分,ເປັນສ່ວນປະກອບ ,pen sua1 pa kohp, part
,不便,ບໍ່ສະດວກ ,boh1 sa duak, uncomfortable
,父母,ພໍ່ແມ່ ,phoh1 mae1, parents
,不法,ຜິດກົດຫມາຍ ,hpit kot hmaay, illegal
,不法滞在,ລັກລອບອາໃສຢູ່ປະເທດ ,lak lohp aa say yuu1 pa theet, illegal stay
,不法入国,ລັກລອບເຂົ້າປະເທດ ,lak lohp hkao2 pa theet, illegal immigration
,踏み切り,ທາງຂ້າມລົດໄຟ ,thaang hkaam2 lot fai, railroad crossing
,不眠症,ໂລກນອນບໍ່ຫລັບ ,look nohn boh1 hlap, sleeplessness
,踏む,ຢຽບ ,yiap, step on 
,増やす,ຕື່ມ ,teum1, add to
,増やす,ເພີ່ມໃຫ້ຫລາຍຂື້ນ ,pherm1 hhay2 hlaay hkeun2, increase
,冬fuyu,ຍາມຫນາວ ,nyaam hnaaw, winter
,フライパン,ຫມໍ້ຂາງ ,hmoh2 hkaang, frying pan
,ブラウス,ເສື້ອເຊີດຜູ້ຍິງ ,seua2 xert hpuu2 nying, woman shirt
,ブラシ,ແປງ ,paeng, brush
,ブラジャー,ເສື້ອຍົກຊົງ ,seua2 nyok xong, brassiere
,ブラジャー,ເສື້ອຊ້ອນ ,seua2 xohn2, brassiere
,プラスチック,ປາລາດສະຕິກ ,paa laat sa tik, plastic
,プラスティック,ປາລາດສະຕິກ ,paa laat sa tik, plastic
,プラチナ,ຄຳຂາວ ,kham hkaaw, platinum
,フランス,ຝະລັ່ງເສດ ,hfa lang1 seet, France
,フランス語,ພາສາຝະລັ່ງ ,phaa saa hfa lang1, French
,フランス人,ຄົນຝະລັ່ງ ,khon hfa lang1, French
,ブランデー,ເຫລົ້າບະລັ່ນດີ ,hlao2 ba lan1 dii, brandy
,振り向くfurimuku,ງວາກ ,ngwaak, turn face
,プリント,ພິມເອກະສານ ,phim ee ka saan, printed matter
,降る,ຕົກ ,tok, fall
,振る,ໂບກທຸງ ,book thung, wave
,古い,ເກົ່າ ,kao1, old
,震える,ສັ່ນ ,san1, tremble 
,古着furugi,ເສື້ອເກົ່າ ,seua2 kao1, old clothes
,古本屋,ຮ້ານຂາຍປື້ມເກົ່າ ,haan2 hkaay peum2, secondhand bookstore
,プルメリアpurumeria,ຈຳປາ ,jam paa, plumeria
,ブレーキbureeki,ເບກ ,beek, break
,ブレスレット,ສາຍແຂນ ,saay hkaen, bracelet
,プレゼント,ຂອງຂັວນ ,hkohng hkua'n, gift
,風呂furo,ຫ້ອງນ້ຳ ,hhohng2 nam2, bath room
,プロ,ຊ່ຽວຊານ ,xiaw1 xaan, expert
,プログラム,ຕາລາງເວລາ ,taa laang wee laa, program
,プログラム,ໂປແກມ ,poo kaem, (computer) program
,フロントfuronto,ເຄົ້າເຕີ້ ,khao2 ter2, counter
,糞,ຂີ້ ,hkii2, excrement
,（～）分,ນາທີ ,naa thii, ~ munite
,分,ນາທີ ,naa thii, minute
,（～）分,ນາທີ ,naa thii, ~ munite
,分,ນາທີ ,naa thii, minute
,雰囲気,ບັນຍາກາດ ,ban nyaa kaat, atmosphere
,文化,ວັດທະນະທຳ ,wat tha na tham, culture
,文学,ວັນນະຄະດີ ,wan na kha dii, literature
,文字,ໂຕຫນັງສື ,too hnang seu, letter
,（～）分間(～),ນາທີ ,naa thii, for ~ munites
,（～）分間(～),ນາທີ ,naa thii, for ~ munites 
,文語,ພາສາຂຽນ ,phaa saa hkian, writing language
,文章bunshoo,ປະໂຫຍກ ,pa hyook, sentence
,噴水funsui,ນ້ຳພຸ ,nam2 phu, fountain
,文法,ໄວຍະກອນ ,wai nya kohn, grammar
,文房具bumboogu,ເຄື່ອງຫ້ອງການ ,kheuang1 hhohng2 kaan, stationery
,文明bummei,ສີວິໄລ ,sii wi lai, civilization
,ヘアスタイル,ຊົງຜົມ ,xong hpom, hair style
,平均,ສະເລ່ຍ ,sa leey1, average
,兵士heishi,ທະຫານ ,tha hhaan, soldier
,兵隊heitai,ທະຫານ ,tha hhaan, soldier
,閉店,ປິດຮ້ານ ,pit haan2, close
,平和,ສັນຕິພາບ ,san ti phaap, peace
,ページ,ຫນ້າ ,hnaa2, page
,（～）べきだ(～),ຄວນຈະ ,khuan ja, ought to (v)
,臍,ສາຍບື ,saay beu, navel
,下手,ບໍ່ເກັ່ງ ,boh1 keng1, poor
,ベッド,ຕຽງ ,tiang, bed
,ペットpe¿to,ສັດລ້ຽງ ,sat liang2, pet
,ペットボトル,ກະຕຸກຢາງ ,ka tuk yaang, plastic bottle
,ベトナム,ຫວຽດນາມ ,hhwiat naam, Vietnam
,蛇,ງູ ,nguu, snake
,ベビーカー,ລໍ້ນອນເດັກນ້ອຍ ,loh2 nohn dek nohy2, child wheel
,ベビーコーン,ສາລອຍ ,saa lohy, baby corn
,部屋,ຫ້ອງ ,hhohng2, room
,減らすherasu,ຫລຸດລົງ ,hlut long, reduce
,減る,ລົດລົງ ,lot long, decrease
,減るheru,ຫນ້ອຍລົງ ,hnohy2 long, decrease
,ベルトberuto,ສາຍແອວ ,saay aew, belt
,変,ແປກໃຈ ,paek jay, strange
,辺,ຂ້າງ ,hkaang2, side (math.)
,ペン,ບິກສໍ ,bik soh, pen
,変化,ປ່ຽນພຶດຕິກຳ ,pian1 phuet ti kam, change
,弁解,ແກ້ໂຕ ,kae2 too, make an excuse
,勉強,ການຮຽນ ,kaan hian, learn
,勉強,ສຶກສາ ,suek saa, study
,勉強,ຮຽນ ,hian, study
,勉強,ຮຽນຫນັງສື ,hian hnang seu, study
,偏見,ຄວາມເຫັນລຳອຽງ ,khwaam hhen lam iang, prejudice
,変更,ປ່ຽນແປງ ,pian1 paeng, change
,弁護士,ທະນາຍຄວາມ ,tha naay khwaam, lawyer
,返事,ຄຳຕອບ ,kham tohp, answer
,弁償,ຊົດໃຊ້ ,xot xay2, compensate 
,変身,ປ່ຽນ ,pian1, transform
,変態hentai,ໂລກຈິດ ,look jit, abnormality
,ベンチbenchi,ມ້ານັ່ງ ,maa2 nang1, bench 
,弁当,ປິນໂຕ ,piin too, lunch box
,便秘bempi,ຂີ້ບໍ່ອອກ ,hkii2 boh1 ohk, constipation
,返品,ສົ່ງຄືນ ,song1 kheun, give back
,便利,ສະດວກ ,sa duak, comfort 
,保育園,ໂຮງຮຽນອະນຸບານ ,hoong hian a nu baan, kindergarten
,棒,ທ່ອນ ,thohn1, bar
,貿易booeki,ການຄ້າລະຫວ່າງປະເທດ ,kaan khaa2 la hhwaang1 pa theet, international trade
,（～の）方が,ກວ່າ ,kwaa1, more (a) than
,方角,ທິດ ,thit, direction
,箒,ຟອຍກວດ ,fohy kuat, broom
,方言,ພາສາທ້ອງຖິ່ນ ,phaa saa thohng2 htin1, local language
,冒険booken,ສ່ຽງໄພ ,siang1 phai, adventure
,冒険booken,ພະຈົນໄພ ,pha jon phai, adventure
,方向,ທິດ ,thit, direction
,報告,ລາຍງານ ,laay ngaan, report
,防災,ປ້ອງກັນໄພທຳມະຊາດ ,pohng2 kan phai tham ma xaat, prevent disaster
,防災頭巾boosai,ຫມວກປ້ອງກັນຫົວ ,hmuak pohng2 kan hhua, head cushions
,防止,ປ້ອງກັນ ,pohng2 kan, prevent
,帽子,ຫມວກ ,hmuak, hat
,方針,ນະໂຍບາຍ ,na nyoo baay, policy
,縫製hoosei,ຕັດຫຍິບ ,tat hyip, textile
,宝石,ແກ້ວ ,kaew2, gem
,放送,ໂທລະໂຄ່ງ ,thoo la khoong1, speaker broadcasting
,包丁,ມີດຄົວກິນ ,miit khua kin, kitchen knife
,方法,ວິທີ ,wi thii, method
,訪問,ຢ້ຽມຢາມ ,yiam2 yaam, visit
,法律hooritsu,ກົດຫມາຍ ,kot hmaay, law
,頬,ແກ້ມ ,kaem2, cheek
,ボート,ເຮືອ ,heua, boat
,ボーナスboonasu,ໂບນັດ ,boo nat, bonus 
,ボーナス,ລາງວັນພິເສດ ,laang wan phi seet, bonus
,ボール,ຫມາກບານ ,hmaak baan, ball
,他,ຂອງອື່ນ ,hkohng eun1, another thing
,朗らか,ຍິ້ມແຍ້ມ ,nyim2 nyaem2, cheerful
,僕,ກູ ,kuu, I
,牧師bokushi,ບາດຫລວງ ,baat hluang, reverend
,ポケットpoke¿to,ຖົງເສື້ອ ,htong seua2, shirt pocket
,ポケットpoke¿to,ຖົງສົ້ງ ,htong xong2, pan pocket
,保険,ປະກັນ ,pa kan, insurance
,保健,ຮັກສາສຸຂະພາບ ,hak saa su hka phap, keep health
,保険会社,ບໍລິສັດປະກັນໄພ ,boh li sat pa kan, insurance company
